Timestamp (s),lon,lat,GSR Value,Distance (cm)
0,0.002410112,51.53040389,207,320.5
3,0.002486266,51.53039644,187,278.18
6,0.00255883,51.53038621,209,238.65
7,0.002629983,51.53037418,196,338.73
8,0.002545867,51.53038376,192,287.8
9,0.002471657,51.5303951,210,199.85
10,0.002392019,51.53040774,221,183.93
11,0.002308284,51.53042354,221,391.03
12,0.002236876,51.53043837,213,370.03
13,0.002163606,51.53045388,201,336.89
14,0.00208984,51.53046981,202,378.05
15,0.002016054,51.53048633,186,271.41
16,0.00194361,51.53050378,210,356.68
17,0.001870018,51.53051999,195,162.07
18,0.001792767,51.53053658,190,320.74
19,0.001718857,51.5305528,237,113.88
20,0.001644824,51.5305692,221,388.94
21,0.001570082,51.53058515,212,201.17
22,0.001494908,51.53059994,208,192.21
23,0.001419537,51.53061184,224,95.43
24,0.001342515,51.53062367,204,345.84
25,0.001261052,51.53063655,197,325.24
26,0.001198483,51.53067098,213,158.89
27,0.001180817,51.530717,213,170.98
28,0.00109763,51.53070847,193,95.2
29,0.001018097,51.53068956,201,362.75
30,0.000930624,51.53069072,189,291.84
31,0.000852332,51.53070065,218,180.2
32,0.000780621,51.53071453,200,362.29
33,0.000709586,51.53072678,219,180.63
34,0.000636476,51.53073741,232,396.76
35,0.000564422,51.53074937,217,177.53
36,0.000491175,51.53076332,210,154.1
37,0.000416366,51.53076704,201,358.97
38,0.000376568,51.53072693,203,399.12
39,0.000354918,51.53067917,193,361.15
40,0.000328918,51.53062697,220,273.51
41,0.000306867,51.53058361,225,381.03
42,0.000279708,51.53054013,189,347.4
43,0.000246936,51.5304959,188,244.59
44,0.000215868,51.53045384,211,205.77
45,0.000180915,51.53040511,221,168.73
46,0.000147453,51.53035524,208,82.84
47,0.000121916,51.53031148,210,321.54
48,9.4467e-05,51.53026763,206,318.55
49,6.224e-05,51.53021939,204,184.76
50,3.3371e-05,51.53017651,204,277.49
51,1.513e-06,51.53012469,202,200.57
52,-3.72E-05,51.53008404,202,273.98
53,-6.79E-05,51.53004077,219,367.23
54,-9.92E-05,51.52999865,188,375.16
55,-0.000128485,51.52994878,225,298.71
56,-0.000147929,51.52990268,225,340.32
57,-0.000175953,51.52985433,213,234.93
58,-0.000197012,51.52980655,206,273.05
59,-0.000174465,51.52976302,191,172.4
60,-0.000125925,51.52972798,188,277.72
61,-8.68E-05,51.52968399,213,350.52
62,-9.08E-05,51.52963774,206,173.96
63,-0.000126154,51.529597,189,318.14
64,-0.000167995,51.5295586,224,299.56
65,-0.000219497,51.52951854,206,276.06
66,-0.000271982,51.52948326,209,270.8
67,-0.000331042,51.52944659,221,255.48
68,-0.000375357,51.52941065,186,374.74
69,-0.000418221,51.5293639,221,271.96
70,-0.000446807,51.52931592,190,279.93
71,-0.000477801,51.52927415,213,260.01
72,-0.000501082,51.52922402,192,131.83
73,-0.000525527,51.52917955,210,106.43
74,-0.000528882,51.52912443,194,151.24
75,-0.000531833,51.52907721,207,346.52
76,-0.000550633,51.52902637,187,161.84
77,-0.000588932,51.52898288,185,158.6
78,-0.000622056,51.52893862,218,290.73
79,-0.000658516,51.52889504,211,286.12
80,-0.000700477,51.52884729,205,390.57
81,-0.000733167,51.52880622,223,306.57
82,-0.000758491,51.52876384,192,105.43
83,-0.00079491,51.52872069,201,210.12
84,-0.000832846,51.52868066,204,211.37
85,-0.000880688,51.52863844,203,200.06
86,-0.000918313,51.52859524,211,191.72
87,-0.000960164,51.52855531,214,185.02
88,-0.001012329,51.52850962,196,161.94
89,-0.001058763,51.52846388,196,275.98
90,-0.001097149,51.52842374,199,168.59
91,-0.00113886,51.52838309,196,337.74
92,-0.001178374,51.52834155,216,238.67
93,-0.001228684,51.52830314,216,214.48
94,-0.001273824,51.52826363,226,381.72
95,-0.001310072,51.5282189,193,396.98
96,-0.001355476,51.52817356,206,262.55
97,-0.001395044,51.52813061,197,71.88
98,-0.001440976,51.52809529,206,366.49
99,-0.001503795,51.52805598,236,165.43
100,-0.001563078,51.52801823,207,329.1
101,-0.001610346,51.52798334,224,316.74
102,-0.0016651,51.52794356,224,269.63
103,-0.001713951,51.52790982,186,260.6
104,-0.001763422,51.52787587,189,235.54
105,-0.001810483,51.52784172,195,327.77
106,-0.001863344,51.52780446,192,210.77
107,-0.001904131,51.52775807,225,205.62
108,-0.001945652,51.52770834,205,365.86
109,-0.001979954,51.52765838,215,220.14
110,-0.002018773,51.52761145,190,274.01
111,-0.002061365,51.5275731,205,376.27
112,-0.002103974,51.52752628,193,325.91
113,-0.002131099,51.52747607,224,227.45
114,-0.002143974,51.52742729,187,392.55
115,-0.002154584,51.52738218,195,320.45
116,-0.002190268,51.52733394,186,344.53
117,-0.002248193,51.52730015,209,78.85
118,-0.002305556,51.52725888,188,387.72
119,-0.002359626,51.52722759,221,223.27
120,-0.002430322,51.5272113,225,321.95
121,-0.002508494,51.52719005,222,290.45
122,-0.002582316,51.52717182,203,103.68
123,-0.002665676,51.52715027,199,333.59
124,-0.002736712,51.52712898,186,349.75
125,-0.002813174,51.52710681,207,268.49
126,-0.002880751,51.52708998,217,363.54
127,-0.002951845,51.52707155,225,308.27
128,-0.003032976,51.52705741,187,268.44
129,-0.003113683,51.52704335,225,260.85
130,-0.003193863,51.52702181,225,384.27
131,-0.003258113,51.52699573,213,343.83
132,-0.003326966,51.52696455,240,262.52
133,-0.003406241,51.52695425,195,347.19
134,-0.003494841,51.52696155,225,352.69
135,-0.00357214,51.52698546,210,290.28
136,-0.003637153,51.52701783,201,290.71
137,-0.003679794,51.52705932,221,346.12
138,-0.003672775,51.52711127,186,386.11
139,-0.003656706,51.52715527,201,332.58
140,-0.003652916,51.52720873,199,267.43
141,-0.003663817,51.5272623,193,390.01
142,-0.003684046,51.52731505,185,339.65
143,-0.003709177,51.52736367,209,311.88
144,-0.003732084,51.52741389,214,272.6
145,-0.003753155,51.52746513,210,350.17
146,-0.00376293,51.52751152,222,297
147,-0.003763437,51.52756353,219,339.31
148,-0.003750023,51.52761377,188,320.21
149,-0.003731073,51.52766073,214,269.73
150,-0.003715232,51.52770511,194,261.06
151,-0.003710832,51.52775033,221,304.63
152,-0.003702382,51.5278009,192,261.61
153,-0.003704873,51.52784666,189,374.31
154,-0.003714382,51.52789266,215,301.06
155,-0.003721239,51.52794695,214,397.12
156,-0.003730331,51.52800271,194,362.5
157,-0.003742379,51.52805919,192,389.18
158,-0.003758383,51.52811071,223,312.09
159,-0.003791444,51.52815371,190,345.75
160,-0.003802363,51.52819844,220,275.77
161,-0.00380079,51.52825217,208,273.64
162,-0.003795824,51.52830524,234,315.94
163,-0.00380452,51.52835342,194,311.59
164,-0.003815125,51.5284037,192,346.66
165,-0.003810905,51.5284539,198,284.3
166,-0.003819111,51.52849986,199,341.53
167,-0.003840158,51.5285434,186,331.69
168,-0.003909914,51.52856272,203,311.39
169,-0.00397632,51.52858266,208,393.58
170,-0.004048192,51.52859133,221,295.09
171,-0.004121851,51.52859278,216,357.92
172,-0.004200179,51.52859493,221,319.11
173,-0.004293523,51.52859753,191,314.75
174,-0.004372467,51.52859923,211,283.01
175,-0.004447936,51.52859921,188,392.48
176,-0.004533441,51.52859693,194,335.98
177,-0.004613081,51.52859064,206,302.51
178,-0.004687567,51.52858157,188,336.23
179,-0.004761769,51.52856906,189,277.61
180,-0.004834966,51.52856382,192,295.26
181,-0.004905823,51.5285533,226,339.53
182,-0.004981487,51.52854027,216,312.59
183,-0.005038264,51.52850527,190,312.77
184,-0.005083178,51.52846839,216,285.03
185,-0.00513519,51.52843466,191,329.43
186,-0.005187778,51.52840161,204,376.38
187,-0.005256928,51.52836698,217,349.63
188,-0.00532428,51.52833642,202,388.21
189,-0.00539331,51.52831844,225,322.7
190,-0.00546798,51.52829851,188,386.27
191,-0.005536735,51.52828119,208,314.69
192,-0.005623949,51.52827668,186,286.49
193,-0.005699608,51.52827,193,126.47
194,-0.00577316,51.52825962,193,336.25
195,-0.005849932,51.52825103,203,339.26
196,-0.005926382,51.52824235,192,386.6
197,-0.006011614,51.52823254,195,357.71
198,-0.006096651,51.52822273,225,324.71
199,-0.006169591,51.52821447,221,364.83
200,-0.00626233,51.52820484,187,290.68
201,-0.006340832,51.52819622,224,311.57
202,-0.006426683,51.52818647,208,258.02
203,-0.006508429,51.5281757,221,286.07
204,-0.006582476,51.52816427,260,376.19
205,-0.006659836,51.52815445,248,318.82
206,-0.006733987,51.52815104,252,381.66
207,-0.006809194,51.52813874,244,300.34
208,-0.006879799,51.52811913,241,293.64
209,-0.006956193,51.52810229,237,278.06
210,-0.006999192,51.5281484,251,355.52
211,-0.006987875,51.52820322,256,385.98
212,-0.006975559,51.52825025,249,355.49
213,-0.006953542,51.52829745,247,355.95
214,-0.006925708,51.52835094,242,329.4
215,-0.006916299,51.52839768,252,354.08
216,-0.006900765,51.52844559,259,381.74
217,-0.006883281,51.52850012,232,276.2
218,-0.006862675,51.52855202,255,373.46
219,-0.006844975,51.52860513,250,367.72
220,-0.006830962,51.52866058,247,332.24
221,-0.006817877,51.52871064,245,323.11
222,-0.006809047,51.52876279,241,325.05
223,-0.00679707,51.52881628,257,387.82
224,-0.006793861,51.52886569,245,294.59
225,-0.006796819,51.52891606,243,330.06
226,-0.006805807,51.52896633,251,372.64
227,-0.006806932,51.52901182,255,378.9
228,-0.006800224,51.52905661,248,329.55
229,-0.006782573,51.52911885,235,283.85
230,-0.006760033,51.52916276,253,344.29
231,-0.00674821,51.52921024,244,317.8
232,-0.006741982,51.52926124,247,327.53
233,-0.006732115,51.52930657,258,379.24
234,-0.006725246,51.52936002,250,341.37
235,-0.006716185,51.52941089,239,291.53
236,-0.006712735,51.52946194,243,332.41
237,-0.006711898,51.52951358,259,397.4
238,-0.006708575,51.52956528,234,270.47
239,-0.006712664,51.52961234,260,392.44
240,-0.006711558,51.52966022,251,350.04
