title,tags,lat,lon,url,date_taken
L'inici de la matança / First and most innocent blood,catalunya catalonia catalogne catalogna katalonien cataluña baixasegarra concadebarberà passanant lapobladeferran crims assassinats murders murder crime asesinato matança matanza slaughter massmurder massmurderer dark foscor darkness poble poblet village hamlet camp field josepmarimon marimon 1928 axe criminal bloody filmisnotdead filmisalive filmphotography homedeveloped ilford fp4 rolleicord 6x6 polizei murderer paller entrance murdersite crimescene,41.538281,1.188937,https://live.staticflickr.com/65535/54498343914_b8f9800f62_m.jpg,2025-04-26 17:32:30
Barcelona - olivia ponton 🌊,olivia blonde woman hot beautiful beach beachgirl bikini body beauty ocean model modeling mood stunning pretty gorgeous look exotic explore exhilarating exquisite eyes feminine art fashion wet drip chill sexy swimsuit swimsuitmodel bathingsuit photography portrait portaits portraiture ponton expression lovely photoshoot photos sensuality sensual sunset outside westcoast absolute cute celebrity classy best female lady blue sky barcelona spain peachy booty perfect views,41.377517,2.192029,https://live.staticflickr.com/65535/54498120456_ab8028d658_m.jpg,2025-05-05 06:45:52
Barcelona: møte med leverandørindustri,,41.386363,2.123075,https://live.staticflickr.com/65535/54497173527_124594946b_m.jpg,2025-05-05 11:53:18
Barcelona: Møte med leverandørindustri,,41.386319,2.123097,https://live.staticflickr.com/65535/54498276338_13924f081b_m.jpg,2025-05-05 11:10:03
Barcelona: Møte med leverandørindustri,,41.386294,2.123030,https://live.staticflickr.com/65535/54498366525_58936e5cd1_m.jpg,2025-05-05 11:08:11
"-Hazlo, pero deja dormir carajo.",zoo zoológico zoològic park parco parc parque animal beast mammal mamífero hippo hippopotamus hipopótamo hipopòtam aggressive agresivo sleep siesta light daylight color colour colores colours colors wall barcelona bcn outside outdoor outdoors,41.385875,2.189978,https://live.staticflickr.com/65535/54497975806_9edca45293_m.jpg,2025-04-22 14:20:30
Barcelona: møte med havbruksnæringen,,41.386294,2.123091,https://live.staticflickr.com/65535/54497084317_769c782177_m.jpg,2025-05-05 10:56:43
Barcelona: Dialogmøter med fiskerinæringa,,41.386300,2.123022,https://live.staticflickr.com/65535/54498244330_44e1d8d784_m.jpg,2025-05-05 09:06:50
Barcelona: Dialogmøter med fiskerinæringa,,41.386341,2.123033,https://live.staticflickr.com/65535/54498151703_a0ea83af1a_m.jpg,2025-05-05 09:31:42
the path,canetdemar provinciadebarcelona españa es sonyilce7m4 sony7m4 sony7miv sony canet trees path pathway 70200f28 70200mm fe70200mm fe70200mmf28gmossii teleconverter 14xteleconverte,41.608611,2.573647,https://live.staticflickr.com/65535/54497856169_5f33f445f8_m.jpg,2024-08-16 17:20:00
"Jove d'Ukraïna. Parla castellà força bé. Captura: Carrer París, just sota al meu balcó. Barcelona.",,41.387221,2.144844,https://live.staticflickr.com/65535/54492620478_1483ba259e_m.jpg,2024-03-15 17:12:13
Museo Picasso,barcelona picasso,41.385083,2.180938,https://live.staticflickr.com/65535/54497128160_aee94852bc_m.jpg,2025-05-04 17:21:55
Museo Picasso,barcelona picasso,41.385022,2.181283,https://live.staticflickr.com/65535/54497128100_00d93cd472_m.jpg,2025-05-04 17:05:33
Street art,barcelona streetart,41.384588,2.181722,https://live.staticflickr.com/65535/54496776801_93d2ea5c52_m.jpg,2025-05-04 16:46:47
Museo Picasso,barcelona picasso,41.385575,2.181280,https://live.staticflickr.com/65535/54497128000_f0b303a384_m.jpg,2025-05-04 17:28:51
51843,tarragona spain tarrgona catalonia catalonian españa european eu westerneurope continentaleurope city urban phoenicians carthaginians kingdomofaragon crownofaragon catalanseparatism revolutionarycatalonia spanishrevolutionof1936 secondspanishrepublic spanishcivilwar antonigaudí lluísdomènechimontaner unescoworldheritagesites iberianpeninsula,41.114488,1.258619,https://live.staticflickr.com/65535/54496438460_1f2745996e_m.jpg,2024-04-21 09:45:02
51842,tarrgona catalonia catalonian spain españa european eu westerneurope continentaleurope city urban phoenicians carthaginians kingdomofaragon crownofaragon catalanseparatism revolutionarycatalonia spanishrevolutionof1936 secondspanishrepublic spanishcivilwar antonigaudí lluísdomènechimontaner unescoworldheritagesites iberianpeninsula,41.113722,1.256427,https://live.staticflickr.com/65535/54496354388_2979fb0e5d_m.jpg,2024-04-21 09:28:46
51844,tarragona spain tarrgona catalonia catalonian españa european eu westerneurope continentaleurope city urban phoenicians carthaginians kingdomofaragon crownofaragon catalanseparatism revolutionarycatalonia spanishrevolutionof1936 secondspanishrepublic spanishcivilwar antonigaudí lluísdomènechimontaner unescoworldheritagesites iberianpeninsula,41.113722,1.256427,https://live.staticflickr.com/65535/54496281659_97576bf54c_m.jpg,2024-04-21 09:26:05
Cornellà de Llobregat - Carretera Sant Boi 4-6 g,modernisme barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur spanien spain espagne españa espanya belleepoque façade fassade fachada façana building gebäude edificio edifici bâtiment altbau art arte kunst baukunst modernismo gaudí liberty ornament ornamento exterior exterieur outdoor,41.356066,2.064614,https://live.staticflickr.com/65535/54496929494_a6159b0b17_m.jpg,2025-05-04 22:44:07
Sagrada Família,sagradafamília basilicadelasagradafamília basilica church ceiling interior stainedglass luminescent nearthealtar pews benches unesco catalan gothicarchitecture artnouveau modernism curvilinear sonya7iii antonigaudi barcelona espana spain,41.403402,2.174613,https://live.staticflickr.com/65535/54495534197_598d6edbda_m.jpg,2025-05-04 14:16:13
OpenDay_BCN_2024_097,2024 a320232 aena aeroport airbus airplane avio avion bcn barcelona britishairways catalunya elpratdelllobregat geuuf joseptarradellas lebl opendaybcn2024 plane spain spottersbarcelonaelprat spotting inside,41.294505,2.080633,https://live.staticflickr.com/65535/54495385602_f632dd2edd_m.jpg,2024-10-08 14:33:57
Barcelona to Beograd,air serbia a320 yuaph arrive land belgrade with flight from barcelona bcn aircraft civil aviation airliner airline ju asl airbus 320 a320200 location beograd nikola tesla airport beg lybe,44.822334,20.288422,https://live.staticflickr.com/65535/54496307145_0d2a769232_m.jpg,2025-05-01 10:48:01
Cornellà de Llobregat - Carretera Sant Boi 4-6 d,modernisme barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur spanien spain espagne españa espanya belleepoque façade fassade fachada façana building gebäude edificio edifici bâtiment altbau art arte kunst baukunst modernismo gaudí liberty ornament ornamento exterior exterieur outdoor,41.356485,2.062693,https://live.staticflickr.com/65535/54496048756_94395ffb5c_m.jpg,2025-05-04 17:51:46
Erysimum bicolor_P3300015,barcelona botanicalgarden botanischegärten catalunya jardíbotànicdebarcelona jardinsbotànics plantes plants erysimumbicolor brassicaceae flors flores fleurs brassicàcies vélarbicolore zweifarbigerschöterich goivodaserra arbust arbusto,41.362741,2.158857,https://live.staticflickr.com/65535/54494849407_98391bfce7_m.jpg,2025-03-30 16:10:12
Biblioteca Can Fabra-Ignasi Iglesias,apuntes arquitectura sant andreu bibcanfabra barcelona,41.434299,2.191214,https://live.staticflickr.com/65535/54495371744_deaa58ac8b_m.jpg,2025-05-04 09:20:48
Aix-en-Provence,canon eos r 6 r6 rf 24 105 24105 f4 f 4 l is usm voyage travel travelling reise vacation urlaub france frankreich provence alpes côte d’azur azur spring frühling aixenprovence aix en,43.529827,5.445630,https://live.staticflickr.com/65535/54495502975_79515c958f_m.jpg,2025-04-22 11:59:13
Looking at the world upside down,castellódempúries provinciadegerona gerona girona catalogne catalunya cataluya catalogneespagne cataluña barcelona españa spain espania espanya ispania ave pajaro bird wildbird aiguamolls parcnaturaldelsaiguamolls lemporda sonyilce7m4 sony sony7m4 sony7miv 14xteleconverte teleconverter fe200600mm ilovenature natura naturaleza nature wild wildlife cinciarella blaumeise mit beute milbe cyanistes caeruleus,42.220555,3.093836,https://live.staticflickr.com/65535/54495317919_fd1c427fbe_m.jpg,2025-04-27 13:44:24
Maig_20195245,19èconcursinternacionalderosesnovesdebarcelona park parque parc parccervantes garden jardín jardí barcelona blumen blossom flors flores flowers fiori fleur rose rosa canoneos80d eosd autofocus,41.384303,2.106102,https://live.staticflickr.com/65535/54495112806_2350a179fa_m.jpg,2019-05-11 11:01:03
Maig_20195241,19èconcursinternacionalderosesnovesdebarcelona park parque parc parccervantes garden jardín jardí barcelona blumen blossom flors flores flowers fiori fleur rose rosa canoneos80d eosd autofocus contactgroups,41.384303,2.106102,https://live.staticflickr.com/65535/54495112711_55bd0723cf_m.jpg,2019-05-11 11:00:36
Figueres - Vilallonga 49 d,modernisme barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur building gebäude edificio bâtiment spanien spain espagne españa espanya belleepoque skulptur plastik bildhauerei escultura sculpture art arte kunst baukunst modernismo gaudí liberty ornament ornamento,42.267194,2.971018,https://live.staticflickr.com/65535/54494625770_ed3b23b197_m.jpg,2025-05-03 22:55:56
"Arribada, Bigues (el Vallès Oriental, Catalunya)",elsenyordelsbertins canon eos250d efs1855 catalunya cataluña catalonia provinciadebarcelona valles vallesoriental valldeltenes cinglesdeberti biguesiriellsdelfai riellsdelfai gebracb senderisme senderismo hiking,41.695299,2.235225,https://live.staticflickr.com/65535/54494117938_d6f3242cdf_m.jpg,2024-06-02 09:50:14
"OK Lliga plata: CHP Sant Feliu vs Oviedo Roller HC, Sant Feliu de Codines (el Vallès Oriental, Catalunya)",elsenyordelsbertins canon eos250d ef70300 catalunya cataluña catalonia provinciadebarcelona valles vallesoriental cinglesdeberti santfeliudecodines hoqueipatins hockeypatines rinkhockey chpsf,41.695125,2.165680,https://live.staticflickr.com/65535/54494198525_9346a90843_m.jpg,2025-03-22 20:35:50
"El Solà, Tagamanent (el Vallès Oriental, Catalunya)",elsenyordelsbertins xiaomi redmi note12pro catalunya cataluña catalonia provinciadebarcelona valles vallesoriental parcnaturaldelmontseny tagamanent senderisme senderismo hiking masia catalanfarmhouse ruines ruinas ruins,41.745044,2.287302,https://live.staticflickr.com/65535/54494037309_fa672c49b4_m.jpg,2024-08-17 10:23:33
Figueres - Vilallonga 49 c,modernisme barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur spanien spain espagne españa espanya belleepoque façade fassade fachada façana building gebäude edificio edifici bâtiment altbau art arte kunst baukunst modernismo gaudí liberty ornament ornamento exterior exterieur outdoor,42.267194,2.971018,https://live.staticflickr.com/65535/54493949533_e2fba717aa_m.jpg,2025-05-03 17:52:17
Barcelona2504 031,españa iphone365 iphone12promax barcelona parcglòries flors flores fleur fiori flowers,41.404141,2.187377,https://live.staticflickr.com/65535/54493922100_e6d8d4a1dd_m.jpg,2025-04-30 18:13:04
Mejor a oscuras,zoo zoológico zoològic park parco parc parque pond estanque lake lago agua water reflection reflections reflejo reflejos bird ave flamenc flamenco flamingo standing color colour colores colours colors light dark shadow shadows barcelona bcn outside outdoor outdoors,41.386774,2.190678,https://live.staticflickr.com/65535/54492131802_ea6a6f83ba_m.jpg,2025-04-29 14:42:11
Gotitas,plant planta flor flower romero rosemary salviarosmarinus rosmarinusofficinalis,41.604949,2.294139,https://live.staticflickr.com/65535/54492981441_11886ca494_m.jpg,2025-02-22 17:56:49
Gotitas,plant planta flor flower romero rosemary salviarosmarinus rosmarinusofficinalis,41.604933,2.294261,https://live.staticflickr.com/65535/54493168199_7823e17b07_m.jpg,2025-02-22 17:58:24
Figueres - Vilallonga 49 a,modernisme barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur spanien spain espagne españa espanya belleepoque façade fassade fachada façana building gebäude edificio edifici bâtiment altbau art arte kunst baukunst modernismo gaudí liberty ornament ornamento exterior exterieur outdoor,42.267194,2.971018,https://live.staticflickr.com/65535/54492441559_91d3189b08_m.jpg,2025-03-10 15:08:45
P8030219,2024 flickr spagna spain barcelona espana,41.387533,2.175552,https://live.staticflickr.com/65535/54492041246_634aa3e458_m.jpg,2024-08-03 11:52:15
P8030224,bw spagna espana 2024 flickr stock barcelona spain,41.387533,2.175552,https://live.staticflickr.com/65535/54491170652_b8e8ae07a4_m.jpg,2024-08-03 11:58:38
P8030333,2024 flickr spagna spain barcelona espana,41.395372,2.161913,https://live.staticflickr.com/65535/54492375795_b7ef747692_m.jpg,2024-08-03 17:56:46
P8030336,2024 flickr spagna spain barcelona espana,41.395372,2.161913,https://live.staticflickr.com/65535/54491169417_0b4fe89451_m.jpg,2024-08-03 17:57:33
P8030388,2024 flickr spagna spain barcelona espana,41.395372,2.161913,https://live.staticflickr.com/65535/54492221984_fab24e0fc2_m.jpg,2024-08-03 19:14:22
P8030385,bw spagna espana 2024 flickr stock barcelona spain,41.395372,2.161913,https://live.staticflickr.com/65535/54492038776_652c3f80cc_m.jpg,2024-08-03 19:01:44
P8040413 (1),bw spagna espana 2024 flickr stock barcelona spain,41.414483,2.152688,https://live.staticflickr.com/65535/54492221819_446f85c41c_m.jpg,2024-08-04 09:42:42
P8040451,2024 flickr spagna spain barcelona espana,41.414483,2.152688,https://live.staticflickr.com/65535/54492038366_8444d27953_m.jpg,2024-08-04 10:28:05
P8040516,2024 flickr spagna spain barcelona espana,41.411869,2.174361,https://live.staticflickr.com/65535/54492221434_8f6b46ab70_m.jpg,2024-08-04 16:49:26
P8040581,bw spagna espana 2024 flickr stock barcelona sagradafamília spain,41.405363,2.173338,https://live.staticflickr.com/65535/54491167697_6b869c1170_m.jpg,2024-08-04 19:10:25
P8040536,2024 flickr spagna spain barcelona espana,41.411869,2.174361,https://live.staticflickr.com/65535/54491167472_57f06656d1_m.jpg,2024-08-04 17:06:50
P8040601,spagna espana 2024 flickr barcelona sagradafamília spain,41.405363,2.173338,https://live.staticflickr.com/65535/54491167157_a6e24ae66c_m.jpg,2024-08-04 19:35:56
P8040608,bw spagna espana 2024 flickr stock barcelona sagradafamília spain,41.405363,2.173338,https://live.staticflickr.com/65535/54491167117_948490de7b_m.jpg,2024-08-04 19:42:39
"Golden Cupolas of the Resurrection Court Church of Grand Catherine Palace by architect Bartolomeo Francesco Rastrelli since 1745, Pushkin municipal town (Tsarskoye Selo), Pushkinsky district of Saint-Petersburg, Russian Federation.",русь паломничество рilgrimage rusio मास्को 莫斯科 orthodoxy святаярусь holyrussia rus russianfederation russianorthodoxy златыекупола goldencupolas goldendomes goldengildedonions goldenguildedonions goldenonions architecture rosja rusija russia русскаяцерковь собор россия российскаяфедерация cupolasofrussia greatrussia historyofrussia holygreatrussia holyrus православный православие архитектура рпц orthodoxrussia orthodoxsaintpetersburg saintpetersburg православныйсанктпетербург санктпетербург архитектурасанктпетербурга petrograd leningrad ленинград православныйхрам русскоеправославие храмысанктпетербурга русскийхрам churchmuseum museum courtchurch grandpalace придворнаяцерковь церковныймузей orthodoxchurch tsarskoyeselo catherinepalace resurrectionchurch pushkinskydistrict pushkintown municipaltown since1745 1745 yekaterininskydvorets городпушкин муниципальныйгород пушкинскийрайон екатерининскийдворец царскоесело большойекатерининскийдворец grandcatherinepalace bartolomeofrancescorastrelli architectrastrelli архитекторрастрелли воскресенскаяцерковь,59.717112,30.396939,https://live.staticflickr.com/65535/54492412455_ba862c8cfb_m.jpg,2024-05-25 00:00:00
CIRQUE DE GAVARNIE,cirque gavarnie pirineos pirineus nieve francia france gorges agua gargante rio cascada rocas piedras arboles troncos cañadas naturaleza natura landscapes paisaje barcelona catalunya cataluña valles lago reflejos fiordos azul cielo ngc barco barcas viento olas national geographic mar playa nubes trabucados hierbas patos saltos parque,42.732418,-0.010128,https://live.staticflickr.com/65535/54492318990_73fc56c8b9_m.jpg,2025-04-20 11:31:47
Figueres - Vilallonga 36 d,modernisme modernismo barcelona artnouveau stilefloreale jugendstil cataluña catalunya catalonia katalonien arquitectura architecture architektur spanien spain espagne españa espanya belleepoque fer castiron ferdefonte hierro ferro iron eisen gusseisen schmiedeeisen forjado forgé wrought forged art arte kunst baukunst ferronnerie gaudí fence liberty textur texture muster textura decoración dekoration deko deco ornament ornamento,42.266297,2.968078,https://live.staticflickr.com/65535/54492063743_8b99b26532_m.jpg,2025-05-02 18:57:17
