Latitude,Longitude
41.377517,2.192029
41.386363,2.123075
41.386319,2.123097
41.386294,2.12303
41.385875,2.189978
41.386294,2.123091
41.3863,2.123022
41.386341,2.123033
41.387221,2.144844
41.385083,2.180938
41.385022,2.181283
41.384588,2.181722
41.385575,2.18128
41.403402,2.174613
41.362741,2.158857
41.434299,2.191214
41.384303,2.106102
41.384303,2.106102
41.404141,2.187377
41.386774,2.190678
41.387533,2.175552
41.387533,2.175552
41.395372,2.161913
41.395372,2.161913
41.395372,2.161913
41.395372,2.161913
41.414483,2.152688
41.414483,2.152688
41.411869,2.174361
41.405363,2.173338
41.411869,2.174361
41.405363,2.173338
41.405363,2.173338
41.369202,2.145747
41.369375,2.145802
41.369375,2.145802
41.365463,2.15348
41.365463,2.15348
41.365652,2.153588
41.365463,2.15348
41.365652,2.153588
41.365694,2.15348
41.367155,2.157216
41.367155,2.157216
41.367155,2.157216
41.367155,2.157216
41.366402,2.157069
41.366402,2.157069
41.366402,2.157069
41.366402,2.157069
41.366352,2.157144
41.366352,2.157144
41.366352,2.157144
41.366352,2.157144
41.368127,2.146547
41.368113,2.146744
41.368127,2.146547
41.368127,2.146547
41.368127,2.146547
41.368127,2.146547
41.368113,2.146744
41.402777,2.186877
41.385917,2.190936
41.38285,2.181702
41.404397,2.187613
41.387102,2.174513
41.387102,2.174499
41.387119,2.174411
41.387038,2.174572
41.387019,2.174719
41.387027,2.174591
41.387025,2.174588
41.387027,2.174583
41.387038,2.174583
41.387119,2.17443
41.387036,2.174577
41.387102,2.174494
41.41169,2.174284
41.403676,2.174209
41.404244,2.214455
41.404338,2.214277
41.404208,2.214469
41.404208,2.214469
41.404186,2.21443
41.404308,2.214319
41.404166,2.214372
41.404347,2.214255
41.404236,2.214297
41.4043,2.214352
41.404174,2.214288
41.404177,2.214338
41.404308,2.214236
41.404219,2.214441
41.404166,2.214402
41.404177,2.214408
41.404188,2.214361
41.404219,2.214358
41.386774,2.190678
41.387394,2.203461
41.402936,2.187494
41.402899,2.187144
41.36648,2.158994
41.366872,2.159325
41.366872,2.159325
41.366725,2.159597
41.366358,2.159327
41.366358,2.159327
41.367119,2.151158
41.367083,2.151127
41.367083,2.151127
41.367119,2.151158
41.367083,2.151127
41.369622,2.145891
41.369622,2.145891
41.369622,2.145891
41.369588,2.145802
41.369588,2.145802
41.369588,2.145802
41.369588,2.145802
41.375669,2.179449
41.386573,2.191128
41.387263,2.174566
41.382622,2.171988
41.382625,2.171988
41.382438,2.17218
41.38243,2.172186
41.382419,2.172086
41.382091,2.172458
41.38198,2.172227
41.386313,2.172174
41.385502,2.173138
41.382908,2.17175
41.381054,2.173069
41.37653,2.178208
41.376533,2.178197
41.375775,2.177383
41.374775,2.176822
41.36533,2.171325
41.358605,2.163916
41.373841,2.175427
41.340663,2.106727
41.389269,2.13011
41.384295,2.174745
41.386525,2.170122
41.382211,2.174005
41.353466,2.153672
41.389269,2.13011
41.384295,2.174745
41.386525,2.170122
41.382211,2.174005
41.353466,2.153672
41.354411,2.153961
41.402155,2.186208
41.397632,2.123088
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.36843,2.160344
41.390427,2.178422
41.370686,2.160305
41.370686,2.160305
41.393608,2.15008
41.387571,2.175432
41.401847,2.186133
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.403595,2.17422
41.402961,2.186863
41.394238,2.159111
41.394386,2.158919
41.394486,2.158816
41.394494,2.158811
41.394588,2.158708
41.394613,2.158583
41.394633,2.158661
41.394633,2.158597
41.394602,2.15855
41.39463,2.158586
41.394613,2.158561
41.395161,2.157861
41.394602,2.15855
41.394591,2.15853
41.394619,2.158566
41.403124,2.186308
41.369079,2.15318
41.386774,2.190678
41.390654,2.137677
41.33505,2.188727
41.315952,2.131275
41.392661,2.161225
41.393805,2.160327
41.393861,2.160236
41.388786,2.146786
41.383887,2.176715
41.387419,2.203475
41.387419,2.203475
41.393809,2.172117
41.398322,2.153147
41.40155,2.139727
41.395273,2.161825
41.386165,2.19119
41.392336,2.145169
41.41013,2.183369
41.422152,2.118908
41.43325,2.185063
41.385611,2.167566
41.385636,2.167575
41.385647,2.17038
41.382877,2.171824
41.384302,2.170797
41.385436,2.169472
41.386774,2.190678
41.383441,2.176666
41.383441,2.176666
41.383441,2.176666
41.387418,2.14081
41.43325,2.185063
41.387419,2.203475
41.387419,2.203475
41.385003,2.17633
41.43325,2.185063
41.388725,2.169113
41.391919,2.165386
41.392555,2.164383
41.388611,2.169219
41.388602,2.169233
41.388466,2.16948
41.389738,2.167966
41.388722,2.169247
41.386305,2.170013
41.386275,2.170263
41.389266,2.168502
41.389855,2.165191
41.388877,2.170052
41.387863,2.171044
41.390438,2.164702
41.386774,2.190678
41.3839,2.186874
41.403571,2.18953
41.43325,2.185063
41.404116,2.186466
41.404,2.186361
41.412793,2.174284
41.39185,2.165383
41.390227,2.167833
41.389716,2.168238
41.39165,2.165352
41.382113,2.172383
41.381969,2.172069
41.43325,2.185063
41.388303,2.146174
41.39009,2.152923
41.39141,2.155047
41.411835,2.227056
41.386272,2.170266
41.389855,2.165191
41.388877,2.170052
41.387863,2.171044
41.412946,2.228629
41.390419,2.164633
41.39213,2.166847
41.390438,2.164702
41.386774,2.190678
41.3839,2.186874
41.403571,2.18953
41.404116,2.186466
41.404,2.186361
41.412793,2.174284
41.364876,2.18821
41.39213,2.166861
41.39185,2.165383
41.390227,2.167833
41.389716,2.168238
41.39165,2.165352
41.390852,2.163872
41.382113,2.172383
41.381969,2.172069
41.43325,2.185063
41.388303,2.146174
41.39141,2.155047
41.403571,2.18953
41.381944,2.173333
41.43325,2.185063
41.403281,2.174763
41.383819,2.107069
41.384066,2.106933
41.384066,2.106933
41.384066,2.106933
41.383819,2.107069
41.384066,2.106933
41.384066,2.106933
41.384516,2.105702
41.384538,2.105655
41.384516,2.105702
41.384516,2.105702
41.384369,2.106491
41.384383,2.106597
41.403952,2.186358
41.403708,2.186072
41.407163,2.130069
41.43325,2.185063
41.402863,2.173427
41.365091,2.148435
41.403633,2.186086
41.403332,2.174118
41.403969,2.185283
41.403994,2.185322
41.386872,2.181818
41.396053,2.185269
41.386952,2.170386
41.392405,2.16143
41.39263,2.161566
41.403563,2.174377
41.381011,2.153377
41.392094,2.15608
41.381033,2.153466
41.381194,2.153458
41.392294,2.156061
41.392302,2.156036
41.381036,2.153488
41.381,2.153324
41.392325,2.155999
41.392138,2.156122
41.392541,2.155688
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.384378,2.106304
41.393455,2.181913
41.393469,2.181958
41.393452,2.18193
41.403676,2.174237
41.386283,2.197026
41.412909,2.131088
41.370725,2.149972
41.370694,2.149866
41.370361,2.150194
41.370647,2.149961
41.403571,2.18953
41.369057,2.153388
41.403571,2.18953
41.389217,2.186906
41.380025,2.175001
41.400294,2.155013
41.399513,2.156133
41.4094,2.184519
41.386259,2.197347
41.373982,2.148149
41.403571,2.18953
41.403309,2.174026
41.370963,2.14993
41.386586,2.181305
41.386775,2.17418
41.403338,2.173955
41.404002,2.17488
41.411522,2.174455
41.41193,2.174327
41.412902,2.174961
41.413741,2.152749
41.392602,2.164993
41.403869,2.17575
41.390683,2.15868
41.403708,2.174563
41.403613,2.174538
41.383961,2.177569
41.383994,2.17568
41.386638,2.173777
41.393402,2.152891
41.4095,2.156965
41.409571,2.126611
41.409571,2.126611
41.409571,2.126611
41.409571,2.126611
41.373078,2.189622
41.409571,2.126611
41.404008,2.155366
41.404622,2.156211
41.405302,2.145216
41.395752,2.164891
41.405394,2.145299
41.4054,2.14528
41.401791,2.158372
41.40671,2.160755
41.378447,2.16583
41.382233,2.177963
41.403322,2.174005
41.3918,2.165147
41.391808,2.165152
41.391819,2.165161
41.391666,2.165244
41.391819,2.165163
41.391663,2.165238
41.391822,2.165163
41.391658,2.165238
41.39168,2.165211
41.39785,2.163466
41.391677,2.165194
41.398358,2.164258
41.397533,2.163555
41.39753,2.16355
41.39753,2.16355
41.395522,2.162116
41.395466,2.162147
41.395347,2.162219
41.395477,2.162141
41.395344,2.16208
41.395377,2.162088
41.395358,2.162102
41.395344,2.16208
41.395355,2.162113
41.394919,2.161813
41.394869,2.161772
41.403388,2.150866
41.394875,2.161761
41.403388,2.150866
41.403388,2.150863
41.40343,2.150819
41.403427,2.150769
41.403391,2.150805
41.403419,2.150772
41.403436,2.150805
41.403533,2.150594
41.403436,2.150802
41.403602,2.150619
41.403586,2.150477
41.403647,2.150541
41.403605,2.150422
41.403494,2.150416
41.403472,2.150436
41.403397,2.150508
41.403472,2.150444
41.403447,2.150452
41.403358,2.150513
41.403336,2.150508
41.403386,2.150449
41.403338,2.150463
41.403336,2.150452
41.4034,2.150569
41.403438,2.150669
41.403377,2.150597
41.403377,2.150722
41.403358,2.15055
41.403427,2.150636
41.403452,2.150644
41.403605,2.150622
41.403436,2.1506
41.403411,2.150566
41.403369,2.150513
41.403605,2.150588
41.403483,2.150597
41.403408,2.150444
41.40353,2.150558
41.403338,2.150611
41.403541,2.150547
41.403533,2.150566
41.403533,2.150547
41.403555,2.150552
41.403533,2.150547
41.403555,2.150552
41.403502,2.150569
41.403511,2.150563
41.403533,2.150547
41.403491,2.150777
41.403488,2.1507
41.403469,2.150783
41.403605,2.150586
41.40353,2.150572
41.403555,2.150533
41.403447,2.150325
41.403472,2.150555
41.403436,2.150397
41.403483,2.150544
41.4034,2.150422
41.40348,2.15028
41.40343,2.150486
41.40343,2.150372
41.403405,2.150388
41.403408,2.150416
41.403419,2.150397
41.40345,2.150633
41.4034,2.150711
41.403427,2.150688
41.403469,2.150575
41.403508,2.150722
41.403427,2.150705
41.403525,2.15075
41.4035,2.150686
41.403508,2.150736
41.403502,2.15073
41.403502,2.150752
41.403491,2.150736
41.403502,2.150702
41.403633,2.150561
41.403586,2.150583
41.403594,2.150627
41.403586,2.150391
41.403572,2.150425
41.403636,2.150405
41.403488,2.150691
41.403572,2.150563
41.403508,2.150741
41.403655,2.15043
41.403661,2.150444
41.403508,2.150741
41.406508,2.149738
41.406047,2.148963
41.406491,2.149569
41.406361,2.149588
41.406333,2.149608
41.406158,2.149736
41.406161,2.149725
41.406069,2.149966
41.406116,2.149769
41.384636,2.175652
41.397419,2.158408
41.399016,2.156386
41.397427,2.158611
41.397025,2.160908
41.397044,2.160719
41.397,2.160708
41.396872,2.161972
41.396888,2.161952
41.396869,2.16195
41.394663,2.162047
41.391472,2.165505
41.391261,2.165736
41.388469,2.169722
41.388602,2.169102
41.388705,2.169588
41.388691,2.169547
41.388716,2.169544
41.388691,2.169591
41.388722,2.169597
41.388716,2.1696
41.383961,2.17813
41.388713,2.169591
41.387913,2.170983
41.383955,2.17813
41.38395,2.178116
41.386169,2.172372
41.386244,2.172491
41.386172,2.172355
41.384555,2.17413
41.385688,2.172816
41.385947,2.1728
41.384475,2.174241
41.385616,2.173158
41.384533,2.174158
41.384677,2.174102
41.384688,2.174397
41.384658,2.17423
41.395941,2.163144
41.387888,2.171002
41.394802,2.193236
41.404288,2.151636
41.404286,2.151641
41.404308,2.151661
41.40725,2.150547
41.404305,2.151661
41.40438,2.151483
41.404305,2.151516
41.404286,2.151625
41.404238,2.151475
41.406916,2.150291
41.395163,2.196536
41.395125,2.196472
41.395111,2.196483
41.395138,2.196447
41.395191,2.196508
41.395111,2.196455
41.395047,2.196419
41.395144,2.196502
41.404158,2.151744
41.404061,2.151761
41.395083,2.196438
41.404177,2.151694
41.404061,2.151761
41.404136,2.151752
41.404136,2.151752
41.404177,2.151694
41.404163,2.151725
41.404133,2.151769
41.404113,2.151747
41.404075,2.151772
41.404322,2.151816
41.404311,2.151855
41.406116,2.149758
41.406116,2.149769
41.406058,2.14988
41.384636,2.175652
41.399055,2.156349
41.384588,2.175769
41.397419,2.158408
41.399016,2.156386
41.397427,2.158611
41.397025,2.160908
41.397044,2.160719
41.397,2.160708
41.396872,2.161972
41.396888,2.161952
41.396869,2.16195
41.394663,2.162047
41.391472,2.165505
41.391261,2.165736
41.39078,2.166344
41.388602,2.169102
41.390125,2.166905
41.388705,2.169588
41.388691,2.169547
41.388716,2.169544
41.388691,2.169591
41.388722,2.169597
41.388716,2.1696
41.383961,2.17813
41.388713,2.169591
41.388702,2.169588
41.387913,2.170983
41.383955,2.17813
41.383952,2.178116
41.386169,2.172372
41.386244,2.172491
41.386172,2.172355
41.384555,2.17413
41.385688,2.172816
41.385947,2.1728
41.384475,2.174241
41.385616,2.173158
41.384533,2.174158
41.384677,2.174102
41.384688,2.174397
41.384694,2.174097
41.384658,2.17423
41.395941,2.163144
41.387888,2.171002
41.394802,2.193236
41.394916,2.193316
41.404288,2.151636
41.404286,2.151641
41.404308,2.151661
41.40725,2.150547
41.404305,2.151661
41.40438,2.151483
41.404305,2.151516
41.404286,2.151625
41.404238,2.151475
41.406916,2.150291
41.395163,2.196536
41.395125,2.196472
41.395088,2.196402
41.395111,2.196483
41.395138,2.196447
41.395191,2.196508
41.395111,2.196455
